id,pop,lat,long,species,lineage,Taxon,tissues,note,include,reduce,river,region,phylo_label
NEAdelaide.1,Adelaide,-12.9172,131.2594,NE,Northern,richardsoni,yes,NA,include,include,Adelaide,ARNH,NEAdelaide.1_Adelaide
NEAdelaide.2,Adelaide,-12.9172,131.2594,NE,Northern,richardsoni,yes,NA,include,include,Adelaide,ARNH,NEAdelaide.2_Adelaide
NEAdelaide.3,Adelaide,-13.4824,131.0974,NE,Northern,richardsoni,yes,NA,include,include,Adelaide,ARNH,NEAdelaide.3_Adelaide
NEAdelaide.4,Adelaide,-13.4824,131.0974,NE,Northern,richardsoni,yes,NA,include,include,Adelaide,ARNH,NEAdelaide.4_Adelaide
NEAshburton.1,Ashburton,-21.780528,114.963833,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Ashburton,Pilbara,NEAshburton.1_Ashburton
NEAshburton.2,Ashburton,-21.780528,114.963833,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Ashburton,Pilbara,NEAshburton.2_Ashburton
NEAshburton.3,Ashburton,-21.780528,114.963833,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Ashburton,Pilbara,NEAshburton.3_Ashburton
NEAshburton.4,Ashburton,-21.780528,114.963833,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Ashburton,Pilbara,NEAshburton.4_Ashburton
NE1757.1,PU1757,-24.33400569,151.5847827,NE,East_Coast,erebi,yes,NA,include,include,Baffle,SEQ,NE1757.1_Baffle
NELongreach.1,Longreach,-17.6171563,133.4739,NE,MDB_LEB,richardsoni,yes,NA,include,include,Barkley,LEB,NELongreach.1_Barkley
NELongreach.2,Longreach,-17.6171563,133.4739,NE,MDB_LEB,richardsoni,yes,NA,include,include,Barkley,LEB,NELongreach.2_Barkley
NEBlyth.1,Blyth,-12.414472,134.69875,NE,Northern,richardsoni,yes,NA,include,include,Blyth,ARNH,NEBlyth.1_Blyth
NEBlyth.2,Blyth,-12.414472,134.69875,NE,Northern,richardsoni,yes,NA,include,include,Blyth,ARNH,NEBlyth.2_Blyth
NE1588.1,PU1588,-24.06701096,151.2931934,NE,East_Coast,erebi,yes,field code was wrong,include,include,Boyne,CEQ,NE1588.1_Boyne
NE1588.2,PU1588,-24.06701096,151.2931934,NE,East_Coast,erebi,yes,field code was wrong,include,include,Boyne,CEQ,NE1588.2_Boyne
NE1788.1,PU1788,-19.03809654,145.9634311,NE,East_Coast,erebi,yes,NA,include,include,Brisbane,SEQ,NE1788.1_Brisbane
NE1788.2,PU1788,-19.03809654,145.9634311,NE,East_Coast,erebi,yes,NA,include,include,Brisbane,SEQ,NE1788.2_Brisbane
NE1426.1,PU1426,-26.38415771,144.298511,NE,MDB_LEB,richardsoni,yes,NA,include,include,Bulloo,LEB,NE1426.1_Bulloo
NE1426.2,PU1426,-26.38415771,144.298511,NE,MDB_LEB,richardsoni,yes,NA,include,include,Bulloo,LEB,NE1426.2_Bulloo
NE1425.1,PU1425,-27.76764597,143.937157,NE,MDB_LEB,richardsoni,yes,NA,include,include,Bulloo,LEB,NE1425.1_Bulloo
NE1425.2,PU1425,-27.76764597,143.937157,NE,MDB_LEB,richardsoni,yes,NA,include,include,Bulloo,LEB,NE1425.2_Bulloo
NE2208.1,PU2208,-20.74575398,147.9339453,NE,East_Coast,erebi,yes,NA,include,include,Burdekin,BURD,NE2208.1_Burdekin_Collinsville
NE2208.2,PU2208,-20.74575398,147.9339453,NE,East_Coast,erebi,yes,NA,include,include,Burdekin,BURD,NE2208.2_Burdekin_Collinsville
NE2208.3,PU2208,-20.74575398,147.9339453,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2208.3_Burdekin_Collinsville
NE2208.4,PU2208,-20.74575398,147.9339453,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2208.4_Burdekin_Collinsville
NE2208.5,PU2208,-20.74575398,147.9339453,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2208.5_Burdekin_Collinsville
NE2248.1,PU2248,-21.53115807,146.861172,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2248.1_Burdekin_BelyandoX
NE2248.2,PU2248,-21.53115807,146.861172,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2248.2_Burdekin_BelyandoX
NE2248.3,PU2248,-21.53115807,146.861172,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2248.3_Burdekin_BelyandoX
NE2248.4,PU2248,-21.53115807,146.861172,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2248.4_Burdekin_BelyandoX
NE2248.5,PU2248,-21.53115807,146.861172,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2248.5_Burdekin_BelyandoX
NE2251.1,PU2251,-19.17012793,145.4283863,NE,East_Coast,erebi,yes,NA,include,include,Burdekin,BURD,NE2251.1_Burdekin_Blue_Ridge
NE2251.2,PU2251,-19.17012793,145.4283863,NE,East_Coast,erebi,yes,NA,include,include,Burdekin,BURD,NE2251.2_Burdekin_Blue_Ridge
NE2251.3,PU2251,-19.17012793,145.4283863,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2251.3_Burdekin_Blue_Ridge
NE2251.4,PU2251,-19.17012793,145.4283863,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2251.4_Burdekin_Blue_Ridge
NE2252.1,PU2252,-19.9832064,146.4331094,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2252.1_Burdekin_Macrossan
NE2252.2,PU2252,-19.9832064,146.4331094,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2252.2_Burdekin_Macrossan
NE2252.3,PU2252,-19.9832064,146.4331094,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2252.3_Burdekin_Macrossan
NE2252.4,PU2252,-19.9832064,146.4331094,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2252.4_Burdekin_Macrossan
NE2252.5,PU2252,-19.9832064,146.4331094,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2252.5_Burdekin_Macrossan
NE2253.1,PU2253,-20.63145876,147.1332551,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2253.1_Burdekin_Dalrymple
NE2253.2,PU2253,-20.63145876,147.1332551,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2253.2_Burdekin_Dalrymple
NE2253.3,PU2253,-20.63145876,147.1332551,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2253.3_Burdekin_Dalrymple
NE2253.4,PU2253,-20.63145876,147.1332551,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2253.4_Burdekin_Dalrymple
NE2253.5,PU2253,-20.63145876,147.1332551,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2253.5_Burdekin_Dalrymple
NE2254.1,PU2254,-19.95507305,147.236749,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2254.1_Burdekin_Landers
NE2254.2,PU2254,-19.95507305,147.236749,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2254.2_Burdekin_Landers
NE2254.3,PU2254,-19.95507305,147.236749,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2254.3_Burdekin_Landers
NE2254.4,PU2254,-19.95507305,147.236749,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2254.4_Burdekin_Landers
NE2254.5,PU2254,-19.95507305,147.236749,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2254.5_Burdekin_Landers
NE2256.2,PU2256,-19.6353183,147.4015748,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2256.2_Burdekin_Ayr
NE2256.3,PU2256,-19.6353183,147.4015748,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2256.3_Burdekin_Ayr
NE2256.4,PU2256,-19.6353183,147.4015748,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2256.4_Burdekin_Ayr
NE2256.5,PU2256,-19.6353183,147.4015748,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NE2256.5_Burdekin_Ayr
NECarmichael.1,Carmichael,-22.106783,146.413908,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NECarmichael.1_Burdekin_Carmichael
NECarmichael.2,Carmichael,-22.106783,146.413908,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NECarmichael.2_Burdekin_Carmichael
NECarmichael.3,Carmichael,-22.106783,146.413908,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NECarmichael.3_Burdekin_Carmichael
NECarmichael.4,Carmichael,-22.106783,146.413908,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NECarmichael.4_Burdekin_Carmichael
NECarmichael.5,Carmichael,-22.106783,146.413908,NE,East_Coast,erebi,yes,NA,include,delete,Burdekin,BURD,NECarmichael.5_Burdekin_Carmichael
NE0252.1,PU0252,-25.2808535,151.0735113,NE,East_Coast,erebi,yes,NA,include,include,Burnett,SEQ,NE0252.1_Burnett
NE0252.2,PU0252,-25.2808535,151.0735113,NE,East_Coast,erebi,yes,NA,include,include,Burnett,SEQ,NE0252.2_Burnett
NE1443.1,PU1443,-26.30479585,151.9872286,NE,East_Coast,erebi,yes,NA,include,include,Burnett,SEQ,NE1443.1_Burnett
NE1443.2,PU1443,-26.30479585,151.9872286,NE,East_Coast,erebi,yes,NA,include,include,Burnett,SEQ,NE1443.2_Burnett
NE0252.3,PU0252,-25.2808535,151.0735113,NE,East_Coast,erebi,yes,NA,include,include,Burnett,SEQ,NE0252.3_Burnett
